variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper
const,-0.0012922852343732732,0.008794751681898859,-0.1469382287430608,0.8834119617096954,-0.01869420401871997,0.01610963354997342
H_공급망 및 밸류체인,0.0010904833485547243,0.006116534232440288,0.17828451654388253,0.8587813977020962,-0.01101212463907877,0.01319309133618822
H_기술 및 연구개발,0.0003055071160846743,0.028343061817592587,0.010778903071616826,0.991416628102056,-0.055776083096928934,0.05638709732909828
H_생산 및 제조,0.022503728516793275,0.009624966035737955,2.3380579664630363,0.020934827761368974,0.0034590887914060335,0.041548368242180514
H_투자 및 M&A,0.0003075532704335487,0.014598490934983083,0.02106747004216331,0.9832246400487246,-0.028578055193925887,0.029193161734792986
H_판매 및 유통,-0.031158815905767454,0.028461422762812907,-1.0947736578537774,0.2756715817611303,-0.08747460347084522,0.025156971659310315
H_표준화 및 생태계,0.0022213513775128507,0.010559440202837314,0.2103663958356405,0.833716221687854,-0.018672305142220316,0.023115007897246017
V_경쟁 및 시장,0.0059918203140209535,0.006255831039750112,0.9577976572494349,0.33997039613932467,-0.006386410205708976,0.018370050833750883
V_공급망 및 밸류체인,-0.0022428198417661725,0.00588516951370109,-0.38109689730172247,0.7037631526573992,-0.013887633204754455,0.00940199352122211
V_투자 및 확장,1.273582470150621e-16,4.502779966148251e-17,2.828435943406898,0.0054313799133237205,3.8263052393515596e-17,2.1645344163660857e-16
환율,1.7271497612189745e-06,6.889314821782075e-06,0.2506997874096583,0.8024482007875293,-1.1904536651849024e-05,1.5358836174286974e-05
환율증감률,-1.1657181350961092,0.40460218880333826,-2.881146388614127,0.00464749252537284,-1.9662926918531707,-0.36514357833904776
